,title,price,link
20,Spider-Man The Parker Years # 1  Marvel Comics 1995,GBP 1.20,https://www.ebay.com/itm/134673793846?hash=item1f5b2f0336:g:iooAAOSwpLlkxTb~&amdata=enc%3AAQAIAAAAwBirp3b2F052vR8wR2KYgaYBv6jjZ1JrH0VUPwhFJX1ypJEMZVL3rimn7O%2BMa9Fqw%2FziKVOoKS%2FECPnuhyGQpv47SBiUJGW7dwWUYSPL1q80jZ7LcL5xDZoaaI43myq2eNFiOVr9OiS%2BFcMIK3h96xHvDRxQSorxq%2FEpacTbk6Jp%2F04ydImEsBzGdJf9W7NJb45adezC%2Faa8Ak3qTYqFOJ51nvwWz8OFNXzg3wtYVL1oqwSvcjVwsFQs8gx%2FNq1FeQ%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
21,boxes of old comics,US $925.00,https://www.ebay.com/itm/134675514426?hash=item1f5b49443a:g:WD4AAOSwjQlkcQg5&amdata=enc%3AAQAIAAAAwKQvJmm5ZbWFzKDS%2F%2Bnkmg1EfnRUNrLFcTxGjFNz3I0%2BXEYpgReYDdyFo02bRhkouOWSuB1rZ%2FR6fEQvQ8%2FwD6%2BhlBDwYKPBeHY%2FCLmEOdmxgRC0OM3SDS%2BjBCgd3cQxbTCkKGctE0YJcSTG20StjoEtdjjZ4GanV4lqnFeHvpqGoOc8qsYwvY3O%2BpASN1jBQoEme6bR%2FFlZFDs7tGUhiqp5AlcZchNsgkQxP47obBTxzqcckvFSIit%2Fv8ePgd7LUg%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
22,"LARGE 25 COMICS BOOK LOT-MARVEL, DC, INDIES- FREE/Fast Shipping! VF to NM+ ALL",US $24.99/ea,https://www.ebay.com/itm/295102178301?hash=item44b575e3fd:g:EFMAAOSwcZxh2GRM&amdata=enc%3AAQAIAAAA4O6j9YRT2y4IRAC5r%2FqImxKQgvRHMPirU0ae0Jmt%2BatiZuePK40cHYBHpyHEd%2BysC1srTwiLVDudu1N8qI9e4Tmhc3RIGGwzCs2U82%2FhZNoVoPZWfjZ37CXCCtQtwmjm%2BCu7QJScxqWC7J5Al44dLvgn2CQMv%2B8wKaEpFSIijQOXSr0i%2Blnx4QWEdgk%2BlWDCxXAlOslKl4kArooe6fNxDEFMz82kU4e%2FGUng5APwwzxWOLaeGlpGMi4%2FHpyY%2FBDRbe10CIliP%2BKE5Q3rSTz4ZMJuCWFBVRYj4z%2FOEOdWABZK%7Ctkp%3ABk9SR5rvx8u3Yg
23,X-Men #23 and #24!,US $40.00,https://www.ebay.com/itm/325746551506?hash=item4bd801ead2:g:UH8AAOSwTKdkwYhV&amdata=enc%3AAQAIAAAA4APbLcDFmmeCgiidPqdAoFxzXnn3db60Pgspb%2FwroMCExznU91C3mPsAYp%2Fa18CpzeAzoABXFTivRcXDf2S%2FPhYd9QsFkkqi97AOfzL40YAdmipBu%2FdoZLhxLUE3J7OMqobF1sFOnsIiB%2B%2FGPH7a1IIXfCUS4qz2Lzt38i%2FnzHNQ664%2FdvTVNRa%2FHu7qKikB6NFpb3bAnfTKyEBLArblrxVQbh9i8pcCuKZMc9%2BctB0tIh7%2BoFzkpGHOBooSCLRKRTfP%2BogYAEKxOoB1qBEk8lH9kVcE5yMy2fhR70Sdkn%2B6%7Ctkp%3ABk9SR5rvx8u3Yg
24,1991 Harvey Comics Back To The Future #1 FREE SHIPPING,US $9.99,https://www.ebay.com/itm/354949352838?hash=item52a4a14d86:g:n7sAAOSwbW9kiKIG&amdata=enc%3AAQAIAAAA4K%2BHb%2FxBO3cbPDmscZD7084Ute61IC%2F5WxBAQ64qYGFPI%2FhooJMXXeZOur97iCsv6ajtEY3%2BOwmbIkIdiDVl39zFm9VIHHJs1zM9tnERw8BrDb%2BZOtK7Vu3P6Hj5VwiazGP3jv5V12Wa2UBTqmqaBvqx2OCMDJCyKIYK7slfx9IbSFWo50PkRkW3l27i1TpEwFbpZIaGn5qGaJvjopc62DOwyzGcgW2OnN3mHTJNpWSullRrKeZajTtWfuJ4Loxr0swHi%2FLrKTBwEvJkax4eb7WcT5EmxZAtw5ZAVqMZphgM%7Ctkp%3ABk9SR5rvx8u3Yg
25,AMAZING SPIDER-MAN #300 (FACSIMILE EDITION REGULAR/FOIL VARIANT SET) ~ PRE-SALE,US $17.99,https://www.ebay.com/itm/295791470427?hash=item44de8ba75b:g:tI8AAOSwPFBknuSJ&amdata=enc%3AAQAIAAAA4K7NriHazqVdbMY07aMN8hekz5A2ldvXJKEkhFkQC3QvpCvlGzIi1pFQGxlY9zjqNgMSueuBWKJJHrev8j5XOlppoYi5PdVRkDktUM4jQph3jVh8oUmRhrMl6%2FiqzVGb8ao8a7LpsWPN5F5nK3KmrUUgrzQ%2F2SV9LNapcTupjpzw1y%2B9e4EfmMM0ol%2FCS4VPFvQbdBCnInn%2F82FPhWpDhfuI0JWRHzMWZaXkaJ2iHqeOwxkwVz7wH%2BVorGtMPAc9TIgaPcqhncZbZzrEDOh33cObrBgyVhmsn%2BQ70HmXylm3%7Ctkp%3ABk9SR5zvx8u3Yg
26,"Marvel Super-Heroes #13 (1968) 1st Carol Danvers, 2nd Capt. Marvel",US $25.00,https://www.ebay.com/itm/225698663559?hash=item348cb04c87:g:Dv4AAOSwtAxktLM0&amdata=enc%3AAQAIAAAA4O3e97dSXSh%2B1Gwgf%2B%2B%2Bo1LgN%2F2gY0B5i5Sgb2IcOmGnwA%2BRNWmVxfdPP7MiwPUxvMZZAxGssu3rtV%2Bbi5HQXqfqaUlrix3jKG4xjTnoFM8glROdY9oG4cPy3dIG%2F4RKcZkOgQnZmBSzZB37enNE0sjKb%2BhalVgd%2FOlfgGX7BDwUfWkqAIp8rgiFkijc1NLmGvygwxmqhiKgbRY%2BEafDJPdaaM3dbfj06fDsP7MEhwdbNNxRQQM8yHAiFtEDGevh8GYSIqAyxKDwYJUo83pFhxw6xN%2F9matdMzYwrzR0FpVX%7Ctkp%3ABk9SR5zvx8u3Yg
27,"50 Bulk Lot Assorted DC (20), Marvel (20), &amp; Ind (10) Comic Books (1970- 2022)",US $39.99,https://www.ebay.com/itm/185960346470?hash=item2b4c19b366:g:TzAAAOSwZi5jYShM&amdata=enc%3AAQAIAAAAwKfF2grYFJc7nn1uCumqJc61L7jASTm%2F9t26BI%2F8E%2Bo4v818yCAuzaq7UoOMq62vYYuVuHR99l3OR1xFpIQYZRytujVOEADQm7UkRZVl3DBwB3DxwHIzmC4bsYjpjV9ie5y73mdi%2B8s4OwBMeC28plfCV%2FhcwHDdjjMiyn7LE7Erci%2F3PPrEcFYFFyYARoeAjuIjyxtzik8IfaB12bNBl%2F1Pkm7wU7os8JznHMinO0OGf2FediMLoJHWdxpvRiPmxQ%3D%3D%7Ctkp%3ABk9SR5zvx8u3Yg
28,SPIDER-MAN #1 - MARVEL COMICS - PLANET OF THE SYMBIOTES Super Special,GBP 0.99,https://www.ebay.com/itm/134673792691?hash=item1f5b2efeb3:g:EgAAAOSwKfVkxTfc&amdata=enc%3AAQAIAAAA4KWiZK6jGKFwxrU9kwl6jvLuXiWnVQWPHgkO96m0Im7%2FSEaNJq5yMyaaYHRsETysmBPstGnWUS9plen5KmT8rG5e5uL5%2F50y%2Bojx0lfalsIgZO9HKEFaBXM2pUMzMeiDwqrCVXMg%2FRQEz0w7VQvZbxdSEhGxHwZA9Lkmz8XmJ70IVMJEmI9o5%2B8502vsi7Gv3UkmZpZxwTLrTxGNBxyTkC79ncyG%2BnQyBzuiS73mf61bFeH34JuvX%2BTHy60eGwc0%2Fx%2BCFftGwzxKSPyJEHZAzQgVeLvgrx6%2BRAmLahn1Os%2B2%7Ctkp%3ABk9SR5zvx8u3Yg
29,(50) Marvel / DC Comic Books ~ Bronze To Modern ~ Mixed Lot,US $49.95/ea,https://www.ebay.com/itm/373430625521?hash=item56f23324f1:g:rvoAAOSwdq5hLpTC&amdata=enc%3AAQAIAAAA4B6JI9fXMKbBLXN0pLAN2%2Fo%2FqzmlyuuEhWZrdC3851rvg0PsOAb%2BEKhkpQ81CzZD46KO3OgqbTPnc89r3Dy0T3pmcZV0UKB2cr0FB0nG3P0F2ARF5Gu8YsYHqWfNuqCT%2Bgq1rWJh%2BnBSOKHthlPOVAw%2BLKpeMV8YGTQUY9j2U4mGlNbf0yUD1hkt0FcLHhOr7zJ9tiYWKNLhayqdGe8pK2jTC%2B%2Fk%2F8gV4E5zf9JBfJvZzS7BHk3eWROuy6W9NRGtPy2XU8Fw8sPozxuIPEi8NvPBw8IaU7hrnDt%2F%2FgENtiuk%7Ctkp%3ABFBMnO_Hy7di
